,sub_file_name,total_frames,num_entrances,first_frame_with_nose,first_frame_with_head,first_frame_with_body,first_frame_in_center,frames_with_nose,frames_with_head,frames_with_body,frames_within_50mm,fraction_frames_within_50mm,fraction_LIGHT_frames_within_50mm,fraction_LIGHT_frames_in_center,num_jumps,sum_dist,sum_dist_without_jumps,num_frames_jumping,num_rears,num_frames_rearing
0,/home/dennislab2/Desktop/videos/VID_20230501_090422DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17831,48,0,4,18,2270,16931,14341,13306,12863,0.72138410633167,0.759730671549229,0.240269328450771,41,40661.734110002,40069.0555941848,549,164,3233
0,/home/dennislab2/Desktop/videos/VID_20230501_092339DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,18311,65,51,52,52,5353,15062,12620,11804,12777,0.697777292337939,0.848293719293586,0.151706280706413,66,31310.9684065949,30431.6842960058,841,132,4695
0,/home/dennislab2/Desktop/videos/VID_20230502_094151DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,32,5977,5980,5990,5984,8463,8212,7869,6347,0.353455476972768,0.749970459647879,0.250029540352121,68,42247.9499702658,42126.0062992022,633,128,2795
0,/home/dennislab2/Desktop/videos/VID_20230502_100244DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,52,1335,1415,2781,1447,7762,6668,5310,6884,0.383360249484881,0.886884823499098,0.113115176500902,33,29909.9743353976,29606.930041492,320,115,2911
0,/home/dennislab2/Desktop/videos/VID_20230502_102826DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,27,781,784,834,790,8820,7641,6252,7350,0.409311132149023,0.833333333333333,0.166666666666667,32,22746.5060304521,22580.6313351442,391,63,1958
0,/home/dennislab2/Desktop/videos/VID_20230502_104355DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,25,28,33,101,99,5760,5072,4737,4052,0.225650164281339,0.703472222222222,0.296527777777778,38,20909.0530126878,20766.4577412089,349,103,2444
0,/home/dennislab2/Desktop/videos/VID_20230502_110203DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,29,627,635,686,680,8534,7199,6872,7257,0.404132093334076,0.850363252870869,0.149636747129131,55,29499.0842990466,29326.0652389729,641,115,2934
0,/home/dennislab2/Desktop/videos/VID_20230503_090956DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,24,7472,7497,8483,10018,4779,4506,4263,4374,0.243581890070724,0.915254237288135,0.0847457627118644,27,21147.3009018672,20590.1411349876,293,92,1615
0,/home/dennislab2/Desktop/videos/VID_20230503_092713DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,29,1136,1154,1163,1157,6131,4353,4278,4869,0.2711477418277,0.794160822051868,0.205839177948132,55,33617.9843642433,32478.2839495717,644,84,1522
0,/home/dennislab2/Desktop/videos/VID_20230503_094453DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,9,8603,8956,8986,9616,3590,3112,3002,3232,0.179985520966754,0.900278551532033,0.0997214484679666,39,15970.5921744019,15709.3852931025,507,50,913
0,/home/dennislab2/Desktop/videos/VID_20230503_100309DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,8,7880,8062,8131,8076,4390,4167,4068,3261,0.181600490059587,0.742824601366743,0.257175398633257,30,17791.2461862447,17622.9130660797,317,61,1344
0,/home/dennislab2/Desktop/videos/VID_20230503_102207DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,37,2143,,,2144,982,0,0,928,0.0516790109706521,0.945010183299389,0.054989816700611,20,2665.05932520539,2507.34860663156,319,6,155
0,/home/dennislab2/Desktop/videos/repeat_0pt8_threshold/VID_20230423_104901DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,2,17407,17511,17692,17592,521,292,257,360,0.0200478921868909,0.690978886756238,0.309021113243762,2,887.00369675487,885.938391859801,6,3,10
0,/home/dennislab2/Desktop/videos/repeat_0pt8_threshold/VID_20230423_123300DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,2,16866,17053,17253,17184,1080,459,421,1005,0.0559670323550705,0.930555555555556,0.0694444444444444,6,3239.91592588741,3214.63062175574,60,4,64
